Algorithm,Base Algo,Training,Seed,Noise Level,Wind Power,Mean Reward
DQN_Robust,DQN,Robust,3,None,0.0,-92.655622868695
DQN_Robust,DQN,Robust,3,Low,5.0,-38.792352795962714
DQN_Robust,DQN,Robust,3,Medium,10.0,-7.008888173371074
DQN_Robust,DQN,Robust,3,High,15.0,-39.76587994040259
DQN_Robust,DQN,Robust,3,Extreme,20.0,-60.044938617048885
SARSA,SARSA,Baseline,3,None,0.0,-80.68206518161914
SARSA,SARSA,Baseline,3,Low,5.0,-46.76451143080037
SARSA,SARSA,Baseline,3,Medium,10.0,-41.61543614224213
SARSA,SARSA,Baseline,3,High,15.0,-49.039548319168816
SARSA,SARSA,Baseline,3,Extreme,20.0,-146.44674892185728
SARSA_Robust,SARSA,Robust,3,None,0.0,145.78438096720328
SARSA_Robust,SARSA,Robust,3,Low,5.0,98.06348768872259
SARSA_Robust,SARSA,Robust,3,Medium,10.0,67.50171705313494
SARSA_Robust,SARSA,Robust,3,High,15.0,-105.96798793848525
SARSA_Robust,SARSA,Robust,3,Extreme,20.0,-140.87333296623552
PPO,PPO,Baseline,3,None,0.0,124.05644628064347
PPO,PPO,Baseline,3,Low,5.0,135.18863324992
PPO,PPO,Baseline,3,Medium,10.0,3.4413292061033474
PPO,PPO,Baseline,3,High,15.0,-13.321877712368922
PPO,PPO,Baseline,3,Extreme,20.0,-60.000444762052766
PPO_Robust,PPO,Robust,3,None,0.0,167.2419807156209
PPO_Robust,PPO,Robust,3,Low,5.0,177.97339091529852
PPO_Robust,PPO,Robust,3,Medium,10.0,155.27187109741308
PPO_Robust,PPO,Robust,3,High,15.0,171.82699189940507
PPO_Robust,PPO,Robust,3,Extreme,20.0,134.96224998077344
DQN,DQN,Baseline,4,None,0.0,-114.44452691449824
DQN,DQN,Baseline,4,Low,5.0,-109.4884072199948
DQN,DQN,Baseline,4,Medium,10.0,-138.69659805225658
DQN,DQN,Baseline,4,High,15.0,-140.78618525627562
DQN,DQN,Baseline,4,Extreme,20.0,-163.6440468510818
DQN_Robust,DQN,Robust,4,None,0.0,36.911997023266636
DQN_Robust,DQN,Robust,4,Low,5.0,49.00797751942936
DQN_Robust,DQN,Robust,4,Medium,10.0,30.679368606568534
DQN_Robust,DQN,Robust,4,High,15.0,-73.05459504811844
DQN_Robust,DQN,Robust,4,Extreme,20.0,-116.41461669077088
SARSA,SARSA,Baseline,4,None,0.0,-56.19150292224877
SARSA,SARSA,Baseline,4,Low,5.0,-71.4827204076281
SARSA,SARSA,Baseline,4,Medium,10.0,-80.61739044344648
SARSA,SARSA,Baseline,4,High,15.0,-204.0567352556633
SARSA,SARSA,Baseline,4,Extreme,20.0,-207.2068560341134
SARSA_Robust,SARSA,Robust,4,None,0.0,-106.36097402419054
SARSA_Robust,SARSA,Robust,4,Low,5.0,-111.86647290255974
SARSA_Robust,SARSA,Robust,4,Medium,10.0,-67.37905001238832
SARSA_Robust,SARSA,Robust,4,High,15.0,-52.22557519712742
